Shared Resources,IP Address,Host Name,MAC Address,Response Time,Unnamed: 5,Date
,172.16.0.3,,3A-91-03-F3-E7-9C,1 ms,,29-3-2023
,172.16.0.52,,F6-5E-E3-DF-E8-F0,0 ms,,29-3-2023
,172.16.0.54,,F6-93-A7-E0-36-2A,1 ms,,29-3-2023
,172.16.0.55,,3E-B5-69-C9-15-58,0 ms,,29-3-2023
,172.16.0.56,,26-35-2C-51-06-22,1 ms,,29-3-2023
,172.16.0.57,,EA-96-93-36-08-DA,0 ms,,29-3-2023
,172.16.0.59,,96-B1-E5-A9-FE-89,1 ms,,29-3-2023
,172.16.0.61,,06-8A-EE-79-A7-2C,1 ms,,29-3-2023
,172.16.0.63,,46-F0-04-F2-59-64,0 ms,,29-3-2023
,172.16.0.64,,4A-C0-86-A5-66-60,0 ms,,29-3-2023
,172.16.0.66,,32-03-81-76-0A-97,0 ms,,29-3-2023
,172.16.0.67,,CE-50-E8-5B-81-C3,0 ms,,29-3-2023
,172.16.0.69,,BA-13-88-05-D9-81,0 ms,,29-3-2023
,172.16.0.70,,FE-96-44-D0-F3-7D,0 ms,,29-3-2023
,172.16.0.71,,7A-27-5F-53-BA-99,0 ms,,29-3-2023
,172.16.0.73,,0E-BF-71-CA-40-F4,0 ms,,29-3-2023
,172.16.0.76,,9E-E5-EA-03-D3-99,0 ms,,29-3-2023
,172.16.0.77,,E2-96-6D-98-FB-43,0 ms,,29-3-2023
,172.16.0.78,,42-07-0F-EF-36-D0,0 ms,,29-3-2023
,172.16.0.79,,4A-9D-8D-1A-AC-AC,0 ms,,29-3-2023
,172.16.0.240,,EE-F1-28-ED-6F-39,1 ms,,29-3-2023
,172.16.0.241,,0A-AE-8D-C4-CC-B1,1 ms,,29-3-2023
,172.16.1.6,,C8-4F-86-31-9E-AF,2 ms,,29-3-2023
,172.16.1.10,,D8-94-03-39-39-E0,2 ms,,29-3-2023
,172.16.1.13,,04-09-73-FF-FE-5C,7 ms,,29-3-2023
,172.16.1.14,,20-67-7C-4F-C5-A0,7 ms,,29-3-2023
,172.16.1.15,,08-F1-EA-53-88-C0,18 ms,,29-3-2023
,172.16.1.16,,78-48-59-7A-5B-6B,2 ms,,29-3-2023
,172.16.1.17,,78-48-59-B4-46-31,2 ms,,29-3-2023
,172.16.1.18,,E8-F7-24-18-C8-D0,2 ms,,29-3-2023
,172.16.1.19,,C8-4F-86-33-23-E7,2 ms,,29-3-2023
,172.16.1.20,,38-21-C7-FF-2C-74,6 ms,,29-3-2023
